mtbf_days,mtbf_std,mtbf_trend,mttr_min,days_since_last_bd,bd_freq_30d,avg_avail_7d,avg_avail_30d,avg_tonnage_7d,delay_min_7d,delay_min_30d,delay_diversity,machine_id,rul_days
0.0,0.0,0.0,23.33,26.0,3,100.0,43.75,0.0,0.0,270.0,9,0,1.0
2.6,8.22,0.0,25.91,1.0,11,40.04,40.99,232.05,865.0,1135.0,11,0,1.0
1.93,6.93,0.0,22.33,1.0,15,42.35,42.56,239.24,1655.0,1925.0,11,0,1.0
1.27,5.53,0.0,26.74,1.0,23,39.46,39.91,219.65,2595.0,2865.0,11,0,1.0
1.04,4.9,0.0,36.21,1.0,29,38.26,38.71,209.56,3540.0,3810.0,11,0,1.0
0.91,4.52,0.0,39.71,1.0,31,37.41,37.41,206.74,4190.0,4190.0,11,0,1.0
0.82,4.21,0.0,37.31,1.0,36,38.84,38.84,213.29,4965.0,4965.0,11,0,1.0
0.74,3.96,0.0,35.57,1.0,41,40.34,40.34,220.9,5685.0,5685.0,11,0,1.0
0.67,3.71,0.0,35.4,1.0,47,40.87,40.75,220.86,5635.0,6500.0,11,0,1.0
0.63,3.54,0.0,33.64,1.0,52,41.87,41.99,227.57,5535.0,7190.0,11,0,1.0
0.6,3.41,0.0,32.29,1.0,56,44.71,42.98,244.57,5280.0,7875.0,11,0,1.0
0.57,3.28,0.0,30.7,1.0,61,45.98,42.96,253.05,5155.0,8695.0,12,0,1.0
0.54,3.13,0.0,33.5,1.0,67,45.31,42.03,251.09,5480.0,9670.0,13,0,1.0
0.2,0.45,0.0,20.0,564.0,0,100.0,100.0,0.0,0.0,0.0,0,1,1.0
94.17,230.17,564.0,20.0,1.0,1,45.83,45.83,282.87,260.0,260.0,8,1,3.0
62.89,187.92,0.0,30.0,3.0,4,33.93,33.93,217.67,620.0,620.0,8,1,1.0
51.73,169.9,0.0,28.75,1.0,6,38.09,38.09,293.46,1450.0,1450.0,8,1,1.0
