mtbf_days,mtbf_std,mtbf_trend,mttr_min,days_since_last_bd,bd_freq_30d,avg_avail_7d,avg_avail_30d,avg_tonnage_7d,delay_min_7d,delay_min_30d,delay_diversity,machine_id,breakdown_streak,delay_acceleration,availability_trend,tonnage_efficiency,time_since_maintenance,breakdown_severity_avg,rul_days,risk_class
8.67,15.01,-26.0,71.25,1.0,4,39.93,40.89,231.95,865.0,1135.0,10,0,4,1.016,0.521,1.088,1.0,71.25,1.0,IMMINENT
8.67,15.01,-26.0,71.25,1.0,4,39.93,40.89,231.95,865.0,1135.0,10,0,4,1.016,0.521,0.974,1.0,71.25,1.0,IMMINENT
8.67,15.01,-26.0,71.25,1.0,4,39.93,40.89,231.95,865.0,1135.0,10,0,4,1.016,0.521,0.967,1.0,71.25,1.0,IMMINENT
4.5,10.54,-26.0,47.86,1.0,7,42.53,42.71,238.9,1655.0,1925.0,10,0,7,1.003,1.756,0.753,1.0,47.86,1.0,IMMINENT
4.5,10.54,-26.0,47.86,1.0,7,42.53,42.71,238.9,1655.0,1925.0,10,0,7,1.003,1.756,0.771,1.0,47.86,1.0,IMMINENT
4.5,10.54,-26.0,47.86,1.0,7,42.53,42.71,238.9,1655.0,1925.0,10,0,7,1.003,1.756,0.725,1.0,47.86,1.0,IMMINENT
3.11,8.59,-26.0,61.5,1.0,10,39.93,40.31,220.35,2595.0,2865.0,10,0,10,1.006,-0.33,0.469,1.0,61.5,1.0,IMMINENT
3.11,8.59,-26.0,61.5,1.0,10,39.93,40.31,220.35,2595.0,2865.0,10,0,10,1.006,-0.33,1.018,1.0,61.5,1.0,IMMINENT
3.11,8.59,-26.0,61.5,1.0,10,39.93,40.31,220.35,2595.0,2865.0,10,0,10,1.006,-0.33,0.846,1.0,61.5,1.0,IMMINENT
2.42,7.44,-26.0,80.77,1.0,13,38.54,38.94,209.21,3540.0,3810.0,10,0,13,1.007,-0.539,0.762,1.0,80.77,1.0,IMMINENT
2.42,7.44,-26.0,80.77,1.0,13,38.54,38.94,209.21,3540.0,3810.0,10,0,13,1.007,-0.539,0.982,1.0,80.77,1.0,IMMINENT
2.14,6.88,-26.0,90.0,1.0,14,37.65,37.65,206.04,4190.0,4190.0,10,0,15,1.0,-0.673,1.075,1.0,91.43,1.0,IMMINENT
2.14,6.88,-26.0,90.0,1.0,14,37.65,37.65,206.04,4190.0,4190.0,10,0,15,1.0,-0.673,1.279,1.0,91.43,1.0,IMMINENT
2.14,6.88,-26.0,90.0,1.0,14,37.65,37.65,206.04,4190.0,4190.0,10,0,15,1.0,-0.673,1.154,1.0,91.43,1.0,IMMINENT
1.82,6.25,-26.0,80.83,1.0,17,39.15,39.15,213.18,4965.0,4965.0,10,0,18,1.0,-0.003,1.101,1.0,81.47,1.0,IMMINENT
1.82,6.25,-26.0,80.83,1.0,17,39.15,39.15,213.18,4965.0,4965.0,10,0,18,1.0,-0.003,1.345,1.0,81.47,1.0,IMMINENT
1.82,6.25,-26.0,80.83,1.0,17,39.15,39.15,213.18,4965.0,4965.0,10,0,18,1.0,-0.003,1.287,1.0,81.47,1.0,IMMINENT
1.6,5.76,-26.0,74.52,1.0,20,40.78,40.78,221.66,5685.0,5685.0,10,0,21,1.0,0.475,0.785,1.0,74.75,1.0,IMMINENT
1.6,5.76,-26.0,74.52,1.0,20,40.78,40.78,221.66,5685.0,5685.0,10,0,21,1.0,0.475,1.107,1.0,74.75,1.0,IMMINENT
1.6,5.76,-26.0,74.52,1.0,20,40.78,40.78,221.66,5685.0,5685.0,10,0,21,1.0,0.475,1.207,1.0,74.75,1.0,IMMINENT
1.43,5.38,-26.0,73.75,1.0,23,41.3,41.12,221.63,5635.0,6500.0,10,0,24,0.997,0.557,1.293,1.0,73.91,1.0,IMMINENT
1.43,5.38,-26.0,73.75,1.0,23,41.3,41.12,221.63,5635.0,6500.0,10,0,24,0.997,0.557,1.282,1.0,73.91,1.0,IMMINENT
1.43,5.38,-26.0,73.75,1.0,23,41.3,41.12,221.63,5635.0,6500.0,10,0,24,0.997,0.557,1.351,1.0,73.91,1.0,IMMINENT
1.31,5.06,-26.0,68.52,1.0,26,42.34,42.39,228.98,5535.0,7190.0,10,0,27,1.001,1.129,1.286,1.0,68.46,1.0,IMMINENT
1.31,5.06,-26.0,68.52,1.0,26,42.34,42.39,228.98,5535.0,7190.0,10,0,27,1.001,1.129,1.278,1.0,68.46,1.0,IMMINENT
1.31,5.06,-26.0,68.52,1.0,26,42.34,42.39,228.98,5535.0,7190.0,10,0,27,1.001,1.129,1.213,1.0,68.46,1.0,IMMINENT
1.21,4.79,-26.0,63.5,1.0,29,45.0,43.43,245.49,5280.0,7875.0,10,0,30,0.972,1.087,0.805,1.0,63.28,1.0,IMMINENT
1.21,4.79,-26.0,63.5,1.0,29,45.0,43.43,245.49,5280.0,7875.0,10,0,30,0.972,1.087,1.117,1.0,63.28,1.0,IMMINENT
1.21,4.79,-26.0,63.5,1.0,29,45.0,43.43,245.49,5280.0,7875.0,10,0,30,0.972,1.087,1.026,1.0,63.28,1.0,IMMINENT
1.12,4.56,-26.0,59.55,1.0,32,46.3,43.39,254.36,5155.0,8695.0,10,0,33,0.949,0.438,0.597,1.0,59.22,1.0,IMMINENT
1.12,4.56,-26.0,59.55,1.0,32,46.3,43.39,254.36,5155.0,8695.0,10,0,33,0.949,0.438,1.087,1.0,59.22,1.0,IMMINENT
1.12,4.56,-26.0,59.55,1.0,32,46.3,43.39,254.36,5155.0,8695.0,10,0,33,0.949,0.438,0.798,1.0,59.22,1.0,IMMINENT
1.06,4.37,-26.0,65.14,1.0,35,45.63,42.44,252.64,5480.0,9670.0,11,0,36,0.945,-0.484,0.576,1.0,65.0,1.0,IMMINENT
1.06,4.37,-26.0,65.14,1.0,35,45.63,42.44,252.64,5480.0,9670.0,11,0,36,0.945,-0.484,0.791,1.0,65.0,1.0,IMMINENT
1.06,4.37,-26.0,65.14,1.0,35,45.63,42.44,252.64,5480.0,9670.0,11,0,36,0.945,-0.484,0.864,1.0,65.0,1.0,IMMINENT
0.0,0.0,0.0,20.0,1.0,2,50.0,50.0,387.08,480.0,480.0,7,1,2,1.0,8.333,0.977,1.0,20.0,564.0,SAFE
0.0,0.0,0.0,20.0,1.0,2,50.0,50.0,387.08,480.0,480.0,7,1,2,1.0,8.333,0.801,1.0,20.0,564.0,SAFE
0.33,0.58,0.0,30.0,564.0,0,100.0,100.0,0.0,0.0,0.0,0,1,4,0.0,0.0,0.995,564.0,0.0,1.0,IMMINENT
141.25,281.83,564.0,28.0,1.0,1,45.83,45.83,363.69,260.0,260.0,7,1,5,1.0,0.0,0.792,1.0,20.0,3.0,SOON
113.2,252.01,1.0,50.0,3.0,2,35.42,35.42,326.51,620.0,620.0,7,1,6,1.0,-20.833,1.086,3.0,90.0,1.0,IMMINENT
113.2,252.01,1.0,50.0,3.0,2,35.42,35.42,326.51,620.0,620.0,7,1,6,1.0,-20.833,0.809,3.0,90.0,1.0,IMMINENT
113.2,252.01,1.0,50.0,3.0,2,35.42,35.42,326.51,620.0,620.0,7,1,6,1.0,-20.833,1.181,3.0,90.0,1.0,IMMINENT
81.29,212.86,0.0,43.12,1.0,4,39.58,39.58,347.5,1450.0,1450.0,7,1,2,1.0,1.875,0.838,1.0,56.25,1.0,IMMINENT
81.29,212.86,0.0,43.12,1.0,4,39.58,39.58,347.5,1450.0,1450.0,7,1,2,1.0,1.875,0.602,1.0,56.25,1.0,IMMINENT
81.29,212.86,0.0,43.12,1.0,4,39.58,39.58,347.5,1450.0,1450.0,7,1,2,1.0,1.875,0.948,1.0,56.25,1.0,IMMINENT
57.0,178.14,0.0,70.45,1.0,7,36.2,36.2,323.3,2450.0,2450.0,7,1,5,1.0,-1.017,1.167,1.0,93.57,1.0,IMMINENT
57.0,178.14,0.0,70.45,1.0,7,36.2,36.2,323.3,2450.0,2450.0,7,1,5,1.0,-1.017,1.198,1.0,93.57,1.0,IMMINENT
57.0,178.14,0.0,70.45,1.0,7,36.2,36.2,323.3,2450.0,2450.0,7,1,5,1.0,-1.017,1.09,1.0,93.57,1.0,IMMINENT
43.92,156.27,0.0,61.07,1.0,10,38.83,38.83,341.12,3230.0,3230.0,7,1,8,1.0,0.53,1.129,1.0,73.5,1.0,IMMINENT
43.92,156.27,0.0,61.07,1.0,10,38.83,38.83,341.12,3230.0,3230.0,7,1,8,1.0,0.53,1.184,1.0,73.5,1.0,IMMINENT
43.92,156.27,0.0,61.07,1.0,10,38.83,38.83,341.12,3230.0,3230.0,7,1,8,1.0,0.53,0.977,1.0,73.5,1.0,IMMINENT
35.75,140.87,0.0,60.0,1.0,13,39.5,39.96,348.64,3775.0,4035.0,7,1,9,1.008,0.927,1.084,1.0,69.23,1.0,IMMINENT
35.75,140.87,0.0,60.0,1.0,13,39.5,39.96,348.64,3775.0,4035.0,7,1,9,1.008,0.927,0.021,1.0,69.23,1.0,IMMINENT
35.75,140.87,0.0,60.0,1.0,13,39.5,39.96,348.64,3775.0,4035.0,7,1,9,1.008,0.927,1.257,1.0,69.23,1.0,IMMINENT
30.16,129.28,0.0,77.0,1.0,16,38.82,38.42,338.51,4405.0,5025.0,7,1,12,0.993,-0.298,1.197,1.0,88.75,1.0,IMMINENT
30.16,129.28,0.0,77.0,1.0,16,38.82,38.42,338.51,4405.0,5025.0,7,1,12,0.993,-0.298,1.444,1.0,88.75,1.0,IMMINENT
30.16,129.28,0.0,77.0,1.0,16,38.82,38.42,338.51,4405.0,5025.0,7,1,12,0.993,-0.298,1.633,1.0,88.75,1.0,IMMINENT
26.09,120.15,0.0,69.35,1.0,19,40.91,40.36,363.42,5105.0,5725.0,7,1,15,0.991,0.44,1.011,1.0,77.63,1.0,IMMINENT
26.09,120.15,0.0,69.35,1.0,19,40.91,40.36,363.42,5105.0,5725.0,7,1,15,0.991,0.44,1.719,1.0,77.63,1.0,IMMINENT
26.09,120.15,0.0,69.35,1.0,19,40.91,40.36,363.42,5105.0,5725.0,7,1,15,0.991,0.44,0.702,1.0,77.63,1.0,IMMINENT
23.0,112.71,0.0,69.04,1.0,22,39.63,39.27,370.45,6085.0,6705.0,8,1,18,0.994,-0.03,0.721,1.0,76.14,1.0,IMMINENT
23.0,112.71,0.0,69.04,1.0,22,39.63,39.27,370.45,6085.0,6705.0,8,1,18,0.994,-0.03,1.086,1.0,76.14,1.0,IMMINENT
23.0,112.71,0.0,69.04,1.0,22,39.63,39.27,370.45,6085.0,6705.0,8,1,18,0.994,-0.03,0.47,1.0,76.14,1.0,IMMINENT
20.57,106.5,0.0,76.03,1.0,25,37.7,38.06,358.56,6280.0,7730.0,9,1,21,1.006,-0.388,0.186,1.0,83.4,1.0,IMMINENT
20.57,106.5,0.0,76.03,1.0,25,37.7,38.06,358.56,6280.0,7730.0,9,1,21,1.006,-0.388,0.482,1.0,83.4,1.0,IMMINENT
20.57,106.5,0.0,76.03,1.0,25,37.7,38.06,358.56,6280.0,7730.0,9,1,21,1.006,-0.388,0.833,1.0,83.4,1.0,IMMINENT
18.61,101.22,0.0,97.19,1.0,28,35.22,35.49,343.7,6530.0,8980.0,9,1,24,1.004,-1.53,1.039,1.0,106.79,1.0,IMMINENT
18.61,101.22,0.0,97.19,1.0,28,35.22,35.49,343.7,6530.0,8980.0,9,1,24,1.004,-1.53,1.022,1.0,106.79,1.0,IMMINENT
18.61,101.22,0.0,97.19,1.0,28,35.22,35.49,343.7,6530.0,8980.0,9,1,24,1.004,-1.53,1.15,1.0,106.79,1.0,IMMINENT
17.0,96.65,0.0,90.57,1.0,31,34.13,35.74,340.37,6640.0,9870.0,10,1,27,1.025,-0.859,0.995,1.0,98.39,1.0,IMMINENT
17.0,96.65,0.0,90.57,1.0,31,34.13,35.74,340.37,6640.0,9870.0,10,1,27,1.025,-0.859,0.522,1.0,98.39,1.0,IMMINENT
17.0,96.65,0.0,90.57,1.0,31,34.13,35.74,340.37,6640.0,9870.0,10,1,27,1.025,-0.859,1.013,1.0,98.39,1.0,IMMINENT
15.65,92.65,0.0,87.63,1.0,34,32.09,35.24,327.28,6845.0,10880.0,11,1,30,1.049,-0.517,0.964,1.0,94.41,1.0,IMMINENT
15.65,92.65,0.0,87.63,1.0,34,32.09,35.24,327.28,6845.0,10880.0,11,1,30,1.049,-0.517,0.571,1.0,94.41,1.0,IMMINENT
15.65,92.65,0.0,87.63,1.0,34,32.09,35.24,327.28,6845.0,10880.0,11,1,30,1.049,-0.517,1.053,1.0,94.41,1.0,IMMINENT
14.5,89.11,0.0,84.51,1.0,37,31.89,34.81,329.35,6865.0,11890.0,11,1,33,1.045,-0.721,1.096,1.0,90.41,1.0,IMMINENT
14.5,89.11,0.0,84.51,1.0,37,31.89,34.81,329.35,6865.0,11890.0,11,1,33,1.045,-0.721,1.091,1.0,90.41,1.0,IMMINENT
14.5,89.11,0.0,84.51,1.0,37,31.89,34.81,329.35,6865.0,11890.0,11,1,33,1.045,-0.721,0.822,1.0,90.41,1.0,IMMINENT
13.51,85.95,0.0,81.25,1.0,40,29.86,34.98,307.77,7070.0,12795.0,11,1,36,1.079,0.371,1.081,1.0,86.38,1.0,IMMINENT
13.51,85.95,0.0,81.25,1.0,40,29.86,34.98,307.77,7070.0,12795.0,11,1,36,1.079,0.371,0.91,1.0,86.38,1.0,IMMINENT
13.51,85.95,0.0,81.25,1.0,40,29.86,34.98,307.77,7070.0,12795.0,11,1,36,1.079,0.371,0.713,1.0,86.38,1.0,IMMINENT
12.65,83.1,0.0,79.89,1.0,43,29.96,34.82,292.08,7060.0,13765.0,11,1,39,1.075,0.599,1.01,1.0,84.53,1.0,IMMINENT
12.65,83.1,0.0,79.89,1.0,43,29.96,34.82,292.08,7060.0,13765.0,11,1,39,1.075,0.599,2.115,1.0,84.53,1.0,IMMINENT
12.65,83.1,0.0,79.89,1.0,43,29.96,34.82,292.08,7060.0,13765.0,11,1,39,1.075,0.599,1.141,1.0,84.53,1.0,IMMINENT
11.9,80.52,0.0,76.7,1.0,46,32.24,35.46,320.17,6830.0,14560.0,11,1,42,1.05,1.084,1.016,1.0,80.76,1.0,IMMINENT
11.9,80.52,0.0,76.7,1.0,46,32.24,35.46,320.17,6830.0,14560.0,11,1,42,1.05,1.084,1.044,1.0,80.76,1.0,IMMINENT
11.9,80.52,0.0,76.7,1.0,46,32.24,35.46,320.17,6830.0,14560.0,11,1,42,1.05,1.084,0.927,1.0,80.76,1.0,IMMINENT
11.23,78.16,0.0,75.0,1.0,49,34.92,35.25,343.26,6560.0,15540.0,11,1,45,1.005,0.199,1.083,1.0,78.67,1.0,IMMINENT
11.23,78.16,0.0,75.0,1.0,49,34.92,35.25,343.26,6560.0,15540.0,11,1,45,1.005,0.199,0.793,1.0,78.67,1.0,IMMINENT
11.23,78.16,0.0,75.0,1.0,49,34.92,35.25,343.26,6560.0,15540.0,11,1,45,1.005,0.199,1.159,1.0,78.67,1.0,IMMINENT
10.64,76.0,0.0,72.23,1.0,52,33.83,34.98,340.52,6670.0,16540.0,11,1,48,1.018,0.207,0.914,1.0,75.48,1.0,IMMINENT
10.64,76.0,0.0,72.23,1.0,52,33.83,34.98,340.52,6670.0,16540.0,11,1,48,1.018,0.207,0.875,1.0,75.48,1.0,IMMINENT
10.64,76.0,0.0,72.23,1.0,52,33.83,34.98,340.52,6670.0,16540.0,11,1,48,1.018,0.207,0.977,1.0,75.48,1.0,IMMINENT
10.1,74.01,0.0,69.49,1.0,55,34.18,34.84,344.24,6635.0,17515.0,11,1,51,1.01,-0.104,1.002,1.0,72.36,1.0,IMMINENT
10.1,74.01,0.0,69.49,1.0,55,34.18,34.84,344.24,6635.0,17515.0,11,1,51,1.01,-0.104,0.937,1.0,72.36,1.0,IMMINENT
10.1,74.01,0.0,69.49,1.0,55,34.18,34.84,344.24,6635.0,17515.0,11,1,51,1.01,-0.104,1.069,1.0,72.36,1.0,IMMINENT
9.62,72.17,0.0,67.34,1.0,58,34.97,34.87,351.25,6555.0,18445.0,11,1,54,0.998,-0.268,1.07,1.0,69.91,1.0,IMMINENT
9.62,72.17,0.0,67.34,1.0,58,34.97,34.87,351.25,6555.0,18445.0,11,1,54,0.998,-0.268,0.781,1.0,69.91,1.0,IMMINENT
9.62,72.17,0.0,67.34,1.0,58,34.97,34.87,351.25,6555.0,18445.0,11,1,54,0.998,-0.268,1.104,1.0,69.91,1.0,IMMINENT
